t,x,y,theta
1207.285638,-3.9599,-2.0888,0.4368
1207.306464,-3.9599,-2.0888,0.4367
1207.348157,-3.9599,-2.0888,0.4371
1207.389852,-3.9599,-2.0888,0.4375
1207.413572,-3.9599,-2.0888,0.4373
1207.455816,-3.9599,-2.0888,0.4374
1207.477538,-3.9599,-2.0888,0.4378
1207.520094,-3.9599,-2.0888,0.4379
1207.556975,-3.9599,-2.0888,0.4376
1207.583585,-3.9599,-2.0888,0.4378
1207.619270,-3.9599,-2.0888,0.4381
1207.647660,-3.9599,-2.0888,0.4383
1207.681680,-3.9599,-2.0888,0.4381
1207.712284,-3.9599,-2.0888,0.4379
1207.754404,-3.9599,-2.0888,0.4385
1207.786748,-3.9599,-2.0888,0.4384
1207.818337,-3.9599,-2.0888,0.4376
1207.848900,-3.9599,-2.0888,0.4373
1207.881313,-3.9599,-2.0888,0.4377
1207.912735,-3.9599,-2.0888,0.4382
1207.955007,-3.9599,-2.0888,0.4382
1207.986564,-3.9599,-2.0888,0.4377
1208.018200,-3.9599,-2.0888,0.4377
1208.049144,-3.9599,-2.0888,0.4383
1208.081495,-3.9599,-2.0888,0.4384
1208.123644,-3.9599,-2.0888,0.4379
1208.154302,-3.9599,-2.0888,0.4382
1208.187487,-3.9599,-2.0888,0.4383
1208.217539,-3.9599,-2.0888,0.4382
1208.250713,-3.9599,-2.0888,0.4380
1208.281017,-3.9599,-2.0888,0.4381
1208.322917,-3.9599,-2.0888,0.4385
1208.355262,-3.9599,-2.0888,0.4384
1208.385771,-3.9599,-2.0888,0.4382
1208.418322,-3.9599,-2.0888,0.4384
1208.448255,-3.9599,-2.0888,0.4385
1208.480766,-3.9599,-2.0888,0.4384
1208.522410,-3.9599,-2.0888,0.4384
1208.553337,-3.9599,-2.0888,0.4385
1208.584734,-3.9599,-2.0888,0.4387
1208.616176,-3.9599,-2.0888,0.4385
1208.647015,-3.9599,-2.0888,0.4386
1208.688652,-3.9599,-2.0888,0.4387
1208.721454,-3.9599,-2.0888,0.4386
1208.750620,-3.9599,-2.0888,0.4387
1208.784935,-3.9599,-2.0888,0.4387
1208.812974,-3.9599,-2.0888,0.4387
1208.854393,-3.9599,-2.0888,0.4388
1208.890042,-3.9599,-2.0888,0.4387
1208.916458,-3.9599,-2.0888,0.4388
1208.952688,-3.9599,-2.0888,0.4387
1208.978525,-3.9599,-2.0888,0.4386
1209.020302,-3.9599,-2.0888,0.4387
1209.041390,-3.9599,-2.0888,0.4388
1209.083154,-3.9599,-2.0888,0.4388
1209.120536,-3.9599,-2.0888,0.4388
1209.145491,-3.9599,-2.0888,0.4388
1209.187957,-3.9599,-2.0888,0.4390
1209.210171,-3.9599,-2.0888,0.4390
1209.252376,-3.9599,-2.0888,0.4389
1209.273530,-3.9599,-2.0888,0.4391
1209.315271,-3.9599,-2.0888,0.4390
1209.353535,-3.9599,-2.0888,0.4392
1209.378079,-3.9599,-2.0888,0.4392
1209.420544,-3.9599,-2.0888,0.4394
1209.441505,-3.9599,-2.0888,0.4395
1209.483107,-3.9599,-2.0888,0.4393
1209.523278,-3.9599,-2.0888,0.4393
1209.546069,-3.9599,-2.0888,0.4392
1209.587912,-3.9599,-2.0888,0.4394
1209.608937,-3.9599,-2.0888,0.4395
1209.650956,-3.9599,-2.0888,0.4395
1209.671694,-3.9599,-2.0888,0.4396
1209.714166,-3.9599,-2.0888,0.4396
1209.756062,-3.9599,-2.0888,0.4396
1209.776892,-3.9599,-2.0888,0.4397
1209.819020,-3.9599,-2.0888,0.4395
1209.840311,-3.9599,-2.0888,0.4396
1209.883840,-3.9599,-2.0888,0.4398
1209.904631,-3.9599,-2.0888,0.4397
1209.946226,-3.9599,-2.0888,0.4398
1209.988286,-3.9599,-2.0888,0.4397
1210.009061,-3.9599,-2.0888,0.4398
1210.051587,-3.9599,-2.0888,0.4401
1210.072569,-3.9599,-2.0888,0.4400
1210.114490,-3.9599,-2.0888,0.4401
1210.156523,-3.9599,-2.0888,0.4400
1210.177335,-3.9599,-2.0888,0.4398
1210.219285,-3.9599,-2.0888,0.4399
1210.240522,-3.9599,-2.0888,0.4398
1210.281953,-3.9599,-2.0888,0.4401
1210.320984,-3.9599,-2.0888,0.4403
1210.345108,-3.9599,-2.0888,0.4403
1210.387051,-3.9599,-2.0888,0.4401
1210.407666,-3.9599,-2.0888,0.4401
1210.449710,-3.9599,-2.0888,0.4403
1210.488991,-3.9599,-2.0888,0.4405
1210.514356,-3.9599,-2.0888,0.4403
1210.556274,-3.9599,-2.0888,0.4404
1210.577001,-3.9599,-2.0888,0.4404
1210.620628,-3.9599,-2.0888,0.4406
1210.656824,-3.9599,-2.0888,0.4406
1210.683563,-3.9599,-2.0888,0.4406
1210.719178,-3.9599,-2.0888,0.4408
1210.746800,-3.9599,-2.0888,0.4410
1210.781469,-3.9599,-2.0888,0.4408
1210.823013,-3.9599,-2.0888,0.4409
1210.851315,-3.9599,-2.0888,0.4410
1210.885432,-3.9599,-2.0888,0.4411
1210.913896,-3.9599,-2.0888,0.4410
1210.956096,-3.9599,-2.0888,0.4409
1210.990239,-3.9599,-2.0888,0.4410
1211.018762,-3.9599,-2.0888,0.4408
1211.052946,-3.9599,-2.0888,0.4409
1211.081549,-3.9599,-2.0888,0.4410
1211.115474,-3.9599,-2.0888,0.4409
1211.157081,-3.9599,-2.0888,0.4410
1211.186200,-3.9599,-2.0888,0.4409
1211.219818,-3.9599,-2.0888,0.4409
1211.249332,-3.9599,-2.0888,0.4413
1211.282370,-3.9599,-2.0888,0.4413
1211.312109,-3.9599,-2.0888,0.4412
1211.354033,-3.9599,-2.0888,0.4412
1211.387102,-3.9599,-2.0888,0.4412
1211.417203,-3.9599,-2.0888,0.4414
1211.449755,-3.9599,-2.0888,0.4413
1211.480219,-3.9599,-2.0888,0.4414
1211.522422,-3.9599,-2.0888,0.4415
1211.554604,-3.9599,-2.0888,0.4414
1211.585730,-3.9599,-2.0888,0.4417
1211.617083,-3.9599,-2.0888,0.4417
1211.649450,-3.9599,-2.0888,0.4417
1211.679561,-3.9599,-2.0888,0.4418
1211.721177,-3.9599,-2.0888,0.4416
1211.754667,-3.9599,-2.0888,0.4417
1211.783492,-3.9599,-2.0888,0.4416
1211.818586,-3.9599,-2.0888,0.4417
1211.846584,-3.9599,-2.0888,0.4417
1211.888096,-3.9599,-2.0888,0.4416
1211.909497,-3.9599,-2.0888,0.4417
1211.951056,-3.9599,-2.0888,0.4417
1211.986801,-3.9599,-2.0888,0.4417
1212.013492,-3.9599,-2.0888,0.4418
1212.055287,-3.9599,-2.0888,0.4418
1212.076079,-3.9599,-2.0888,0.4418
1212.118948,-3.9599,-2.0888,0.4419
1212.155262,-3.9599,-2.0888,0.4419
1212.181614,-3.9599,-2.0888,0.4420
1212.218091,-3.9599,-2.0888,0.4420
1212.245118,-3.9599,-2.0888,0.4419
1212.287237,-3.9599,-2.0888,0.4421
1212.322693,-3.9599,-2.0888,0.4420
1212.350422,-3.9599,-2.0888,0.4422
1212.385735,-3.9599,-2.0888,0.4421
1212.413514,-3.9599,-2.0888,0.4421
1212.455566,-3.9599,-2.0888,0.4423
1212.476710,-3.9599,-2.0888,0.4424
1212.518818,-3.9599,-2.0888,0.4425
1212.539853,-3.9599,-2.0888,0.4425
1212.582083,-3.9599,-2.0888,0.4423
1212.620143,-3.9599,-2.0888,0.4425
1212.645255,-3.9599,-2.0888,0.4424
1212.687312,-3.9599,-2.0888,0.4424
1212.708276,-3.9599,-2.0888,0.4424
1212.751581,-3.9599,-2.0888,0.4424
1212.773313,-3.9599,-2.0888,0.4425
1212.816554,-3.9599,-2.0888,0.4427
1212.855591,-3.9599,-2.0888,0.4426
1212.880247,-3.9599,-2.0888,0.4428
1212.918767,-3.9599,-2.0888,0.4428
1212.944291,-3.9599,-2.0888,0.4429
1212.986892,-3.9599,-2.0888,0.4429
1213.008018,-3.9599,-2.0888,0.4429
1213.050891,-3.9599,-2.0888,0.4429
1213.087240,-3.9599,-2.0888,0.4427
1213.115033,-3.9599,-2.0888,0.4427
1213.150236,-3.9599,-2.0888,0.4428
1213.178937,-3.9599,-2.0888,0.4428
1213.221582,-3.9599,-2.0888,0.4430
1213.255343,-3.9599,-2.0888,0.4429
1213.285090,-3.9599,-2.0888,0.4430
1213.318508,-3.9599,-2.0888,0.4430
1213.348790,-3.9599,-2.0888,0.4429
1213.381786,-3.9599,-2.0888,0.4431
1213.413827,-3.9599,-2.0888,0.4431
1213.455918,-3.9599,-2.0888,0.4433
1213.488051,-3.9599,-2.0888,0.4433
1213.520279,-3.9599,-2.0888,0.4432
1213.551038,-3.9599,-2.0888,0.4432
1213.584079,-3.9599,-2.0888,0.4432
1213.613963,-3.9599,-2.0888,0.4432
1213.656388,-3.9599,-2.0888,0.4433
1213.677441,-3.9599,-2.0888,0.4433
1213.719787,-3.9599,-2.0888,0.4434
1213.753908,-3.9599,-2.0888,0.4434
1213.784035,-3.9599,-2.0888,0.4434
1213.818258,-3.9599,-2.0888,0.4435
1213.846697,-3.9599,-2.0888,0.4435
1213.888267,-3.9599,-2.0888,0.4436
1213.909161,-3.9599,-2.0888,0.4437
1213.950774,-3.9599,-2.0888,0.4436
1213.987698,-3.9599,-2.0888,0.4436
1214.013107,-3.9599,-2.0888,0.4435
1214.054666,-3.9599,-2.0888,0.4435
1214.075403,-3.9599,-2.0888,0.4436
1214.116968,-3.9599,-2.0888,0.4435
1214.137682,-3.9599,-2.0888,0.4435
1214.179802,-3.9599,-2.0888,0.4437
1214.221810,-3.9599,-2.0888,0.4437
1214.243448,-3.9599,-2.0888,0.4438
1214.286017,-3.9599,-2.0888,0.4437
1214.307078,-3.9599,-2.0888,0.4438
1214.349653,-3.9599,-2.0888,0.4438
1214.387661,-3.9599,-2.0888,0.4438
1214.413806,-3.9599,-2.0888,0.4440
1214.455737,-3.9599,-2.0888,0.4440
1214.477136,-3.9599,-2.0888,0.4441
1214.518674,-3.9599,-2.0888,0.4442
1214.555840,-3.9599,-2.0888,0.4441
1214.582583,-3.9599,-2.0888,0.4444
1214.619522,-3.9599,-2.0888,0.4444
1214.645486,-3.9599,-2.0888,0.4443
1214.687534,-3.9599,-2.0888,0.4444
1214.708228,-3.9599,-2.0888,0.4443
1214.750281,-3.9599,-2.0888,0.4445
1214.771233,-3.9599,-2.0888,0.4444
1214.813687,-3.9599,-2.0888,0.4443
1214.855573,-3.9599,-2.0888,0.4444
1214.876800,-3.9599,-2.0888,0.4443
1214.919992,-3.9599,-2.0888,0.4444
1214.941318,-3.9599,-2.0888,0.4445
1214.983545,-3.9599,-2.0888,0.4445
1215.004990,-3.9599,-2.0888,0.4446
1215.047512,-3.9599,-2.0888,0.4447
1215.089551,-3.9599,-2.0888,0.4448
1215.112110,-3.9599,-2.0888,0.4448
1215.154418,-3.9599,-2.0888,0.4447
1215.175350,-3.9599,-2.0888,0.4448
1215.217909,-3.9599,-2.0888,0.4448
1215.241071,-3.9599,-2.0888,0.4447
1215.283453,-3.9599,-2.0888,0.4449
1215.317919,-3.9599,-2.0888,0.4448
1215.347123,-3.9599,-2.0888,0.4449
1215.389393,-3.9599,-2.0888,0.4449
1215.410557,-3.9599,-2.0888,0.4448
1215.453257,-3.9599,-2.0888,0.4450
1215.474411,-3.9599,-2.0888,0.4450
1215.516604,-3.9599,-2.0888,0.4450
1215.553680,-3.9599,-2.0888,0.4451
1215.579946,-3.9599,-2.0888,0.4450
1215.622151,-3.9599,-2.0888,0.4451
1215.642879,-3.9599,-2.0888,0.4451
1215.684415,-3.9599,-2.0888,0.4451
1215.722223,-3.9599,-2.0888,0.4452
1215.746974,-3.9599,-2.0888,0.4452
1215.788504,-3.9599,-2.0888,0.4452
1215.809244,-3.9599,-2.0888,0.4454
1215.851097,-3.9599,-2.0888,0.4455
1215.871868,-3.9599,-2.0888,0.4456
1215.913334,-3.9599,-2.0888,0.4456
1215.955464,-3.9599,-2.0888,0.4455
1215.976551,-3.9599,-2.0888,0.4455
1216.018866,-3.9599,-2.0888,0.4454
1216.039961,-3.9599,-2.0888,0.4456
1216.082235,-3.9599,-2.0888,0.4455
1216.103312,-3.9599,-2.0888,0.4455
1216.145660,-3.9599,-2.0888,0.4456
